bond_line,pricing_date,settlement_date,face_value_issued_m,bids_at_clearing_price_m,pricing_reference,initial_price_guidance_bp,final_spread_bp,yield_percent,curve_extension,joint_lead_managers,domestic,offshore,asia_ex_japan,europe,japan,north_america,uk,other,bank_trading,bank_balance_sheet,fund_manager,central_bank,hedge_fund,other_2,type
0.50% 21 September 2026,2020-09-23,2020-09-29,25000,66125,3yr futures,+24 to +27,+24,0.47,No,"ANZ, BofA, Deutsche Bank, JPM",45.6,54.4,28.1,4.9000000000000004,0.1,9.6999999999999993,11.6,0,17.899999999999999,16.600000000000001,31.6,12.3,18.2,3.4,new_bond
1.75% 21 November 2032,2021-04-13,2021-04-20,14000,48056,10yr futures,+10.5 to +13.5,+12.5,1.9,No,"CBA, Deutsche Bank, UBS, Westpac",48.8,51.2,29.2,5,0.5,6.6,9.9,0,10.9,21.1,36,5.6,24.3,2.1,new_bond
3.00% 21 November 2033,2022-04-12,2022-04-20,15000,37573.785000000003,10yr futures,-1.5 to + 1.5,-0.5,3.14,No,"CBA, Deutsche Bank, NAB, UBS",66.900000000000006,33.1,12.5,3.4,0.1,7.8,9.3000000000000007,0,15.7,21.2,34.6,8.3000000000000007,16.899999999999999,3.2,new_bond
3.75% 21 May 2034,2022-11-08,2022-11-15,14000,42448.482000000004,10yr futures,+6 to +9,+8,4.1449999999999996,No,"ANZ, JPM,UBS, Westpac",50.8,49.2,32.4,0.1,2.2999999999999998,7.6,6.8,0,15,14.6,34.299999999999997,13.1,19.5,3.4,new_bond
3.50% 21 December 2034,2023-04-19,2023-04-26,14000,61029.21,10yr futures,+8.5 to +11.5,+9.5,3.6349999999999998,No,"ANZ, CBA, Deutsche Bank, NAB",60.3,39.700000000000003,25.3,0.5,1.9,5.0999999999999996,6.8,0.1,13.2,22.4,37.799999999999997,5.4,19.8,1.4,new_bond
3.25% 21 June 2039,2017-07-11,2017-07-21,2300,5538.25,10yr futures,+64 to +66,+65,3.4049999999999998,No,"BAML, UBS, Westpac",69.2,30.8,11.7,3.5,0,10.5,5,0,32,0,47.1,0,18.399999999999999,2.4,tap
3.00% 21 March 2047,2017-10-17,2017-10-24,2100,4512.5200000000004,10yr futures,+75 to +77,+76,3.5649999999999999,No,"Citi, Deutsche Bank, TD",42.2,57.8,7.8,9.8000000000000007,0.6,8.3000000000000007,28,3.4,32.4,3.1,43.5,1.1000000000000001,17.2,2.7,tap
3.25% 21 June 2039,2018-05-15,2018-05-21,1700,3212.4,10yr futures,+35 to +37,+36,3.2050000000000001,No,"ANZ, CBA, NAB",66.2,33.799999999999997,19.899999999999999,3.1,1.8,7.8,1.2,0,59.4,0,22.2,5.9,12.5,0,tap
2.75% 21 May 2041,2020-02-19,2020-02-26,2000,6098.2,10yr futures,+49 to +51,+49.5,1.5349999999999999,No,"CBA, JPM, UBS",70.2,29.8,7,5.0999999999999996,0,8.9,8.8000000000000007,0,18.7,0,59.2,1,21.2,0,tap
2.75% 21 May 2041,2020-11-17,2020-11-24,6000,18558.8,10yr futures,+75.5 to +78.5,+75.5,1.7,No,"NAB, TD, UBS, Westpac",32.9,67.099999999999994,17.3,9.1,0.7,8.3000000000000007,22.4,9.1999999999999993,13.1,6.7,45.2,5.3,19.399999999999999,10.3,tap
