Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Short-Term AGS Held by Non-Resident Holdings,date,value
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2014-03-31,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2014-06-30,4971971192
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2014-09-30,7461350403
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2014-12-31,7970119897
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2015-03-31,6979831674
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2015-06-30,5977949508
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2015-09-30,8974046980
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2015-12-31,5478523632
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2016-03-31,5982474474.2
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2016-06-30,4985765591
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2016-09-30,4489399460
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2016-12-31,3489704639
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2017-03-31,3991329336
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2017-06-30,3489484913
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2017-09-30,4491061801
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2017-12-31,3488972157
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2018-03-31,3491565641
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2018-06-30,2491695770
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2018-09-30,3993574175.45
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2018-12-31,2989682958.62
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2019-03-31,3993456457.43
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2019-06-30,2993261228.53
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2019-09-30,10482029577.37
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2019-12-31,16153807990.24
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2020-03-31,21240057907.92
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2020-06-30,58737746190.33
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2020-09-30,63982031411.7
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2020-12-31,46744315652.94
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2021-03-31,33997921472.33
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2021-06-30,27249768914.65
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2021-09-30,28800482935.94
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2021-12-31,34998220669.12
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2022-03-31,28994641937.85
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2022-06-30,27450506265.24
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2022-09-30,26376166392.32
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2022-12-31,28346483611.72
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2023-03-31,30752107908.84
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Total Short-Term AGS Outstanding,2023-06-30,26345453644.41
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2003-06-30,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2003-09-30,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2003-12-31,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2004-03-31,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2004-06-30,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2004-09-30,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2004-12-31,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2005-03-31,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2005-06-30,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2005-09-30,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2005-12-31,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2006-03-31,0
Short-Term AGS (Treasury Notes),Non-Resident Participation in Short-Term AGS Market,Non-Resident Holdings,Proportion Held by Non-Residents,2006-06-30,0
